NU_ANO;CO_CURSO;QE_I16
2025;1026;.
2025;16904;.
2025;12015;.
2025;1107;.
2025;16904;.
2025;1257777;.
2025;12015;.
2025;11446;.
2025;140;.
2025;12015;.
2025;1257562;.
2025;65114;.
2025;85586;.
2025;3148;.
2025;11446;.
2025;1264844;.
2025;1264844;.
2025;12970;.
2025;16904;.
2025;140;.
2025;13424;.
2025;13424;.
2025;1026;.
2025;15839;.
2025;11446;.
2025;13723;.
2025;1264844;.
2025;12569;.
2025;16904;.
2025;1029763;.
2025;12015;.
2025;12970;.
2025;12970;.
2025;1342610;.
2025;140;.
2025;16904;.
2025;20249;.
2025;1257777;.
2025;1264844;.
2025;11316;.
2025;1258021;.
2025;59174;.
2025;2392;.
2025;121850;.
2025;1192188;.
2025;1342536;.
2025;121850;.
2025;121850;.
2025;8698;.
2025;1267038;.
2025;868;.
2025;1292713;.
2025;78256;.
2025;2392;.
2025;121850;.
2025;1427419;.
2025;2392;.
2025;2392;.
2025;1292713;.
2025;1146605;.
2025;121850;.
2025;13996;.
2025;5001033;.
2025;59174;.
2025;21542;.
2025;100688;.
2025;8698;.
2025;121850;.
2025;14725;.
2025;1257524;.
2025;121850;.
2025;2392;.
2025;1173014;.
2025;1261971;.
2025;121850;.
2025;39415;.
2025;15783;.
2025;1321864;.
2025;1399480;.
2025;121850;.
2025;2392;.
2025;1477973;.
2025;121850;.
2025;15475;.
2025;2392;.
2025;2392;.
2025;84408;.
2025;121850;.
2025;121850;.
2025;1419799;.
2025;13996;.
2025;2392;.
2025;1292713;.
2025;121850;.
2025;121850;.
2025;121850;.
2025;1272168;.
2025;14725;.
2025;1399480;.
2025;121850;.
2025;1258023;.
2025;1267038;.
2025;121850;.
2025;1261971;.
2025;121850;.
2025;15475;.
2025;121850;.
2025;15475;.
2025;121850;.
2025;1192188;.
2025;9805;.
2025;121850;.
2025;14359;.
2025;1135207;.
2025;14359;.
2025;84352;.
2025;1261972;.
2025;121850;.
2025;121850;.
2025;19086;.
2025;1108786;.
2025;5000979;.
2025;5001294;.
2025;1408508;.
2025;1390317;.
2025;5000931;.
2025;5001294;.
2025;1399479;.
2025;74655;.
2025;5000979;.
2025;1408505;.
2025;85652;.
2025;74655;.
2025;1408507;.
2025;1190280;.
2025;1399477;.
2025;5001294;.
2025;1330031;.
2025;18594;.
2025;5001294;.
2025;10289;.
2025;78256;.
2025;1190280;.
2025;1190280;.
2025;1397772;.
2025;1108786;.
2025;1108786;.
2025;37304;.
2025;1399478;.
2025;1399616;.
2025;1399616;.
2025;5000979;.
2025;5000931;.
2025;72669;.
2025;1399477;.
2025;100956;.
2025;1168313;.
2025;1457707;.
2025;72681;.
2025;72681;.
2025;5001294;.
2025;5001294;.
2025;14615;.
2025;72669;.
2025;5001294;.
2025;5000979;.
2025;113504;.
2025;1188849;.
2025;1399477;.
2025;85652;.
2025;1202547;.
2025;59414;.
2025;98506;.
2025;5001294;.
2025;113504;.
2025;8554;.
2025;72669;.
2025;1421100;.
2025;10289;.
2025;5001294;.
2025;1179189;.
2025;1390311;.
2025;1421100;.
2025;1483768;.
2025;1101742;.
2025;2304;.
2025;1317634;.
2025;1399618;.
2025;5000930;.
2025;9988;A
2025;90084;A
2025;1419799;A
2025;5001033;A
2025;5001033;A
2025;1108281;A
2025;90084;A
2025;90084;A
2025;10224;A
2025;66361;A
2025;1438629;A
2025;18472;A
2025;59414;A
2025;1183958;A
2025;57852;A
2025;1029204;A
2025;90084;A
2025;1184325;A
2025;5001033;A
2025;65114;A
2025;5000930;A
2025;1108786;A
2025;1171609;A
2025;1390317;A
2025;90084;A
2025;78256;A
2025;5001033;A
2025;1189607;A
2025;65114;A
2025;1399478;A
2025;1050663;A
2025;19850;A
2025;1427420;A
2025;9805;A
2025;1050663;A
2025;72669;A
2025;1438629;A
2025;5001033;A
2025;9805;A
2025;1258023;A
2025;107666;A
2025;100958;A
2025;65114;A
2025;1477973;A
2025;19206;A
2025;1477973;A
2025;1397772;A
2025;90084;A
2025;1421013;A
2025;101228;A
2025;5001033;A
2025;1179189;A
2025;4503;A
2025;90084;A
2025;1108786;A
2025;82224;A
2025;1190667;A
2025;5001033;A
2025;5001033;A
2025;90084;A
2025;1184325;A
2025;97679;A
2025;5000979;A
2025;71859;A
2025;1438629;A
2025;10591;A
2025;1408507;A
2025;9805;A
2025;1486822;A
2025;9805;A
2025;18472;A
2025;1408509;A
2025;78256;A
2025;1188127;A
2025;1193264;A
2025;4503;A
2025;4503;A
2025;75821;A
2025;1438629;A
2025;57402;A
2025;1438629;A
2025;12015;A
2025;5000930;A
2025;12970;A
2025;1184432;A
2025;5001033;A
2025;1342536;A
2025;57402;A
2025;84352;A
2025;49060;A
2025;1050663;A
2025;90084;A
2025;1179501;A
2025;72663;A
2025;90084;A
2025;1363536;A
2025;90084;A
2025;1108786;A
2025;90084;A
2025;90084;A
2025;1399477;A
2025;1264844;A
2025;90084;A
2025;1136509;A
2025;64918;A
2025;57402;A
2025;1408505;A
2025;14725;A
2025;1321864;A
2025;1264844;A
2025;90084;A
2025;5001300;A
2025;1385538;A
2025;57402;A
2025;5345;A
2025;72767;A
2025;1050663;A
2025;13601;A
2025;5001300;A
2025;84352;A
2025;16236;A
2025;1179189;A
2025;1189607;A
2025;1200578;A
2025;72767;A
2025;15343;A
2025;100956;A
2025;13723;A
2025;1136509;A
2025;91219;A
2025;5001033;A
2025;5345;A
2025;1184325;A
2025;7705;A
2025;90084;A
2025;90084;A
2025;868;A
2025;1408262;A
2025;100688;A
2025;1349675;A
2025;1257524;A
2025;5001033;A
2025;101228;A
2025;5001300;A
2025;1179501;A
2025;99476;A
2025;1192047;A
2025;1438629;A
2025;59174;A
2025;9996;A
2025;37304;A
2025;1438629;A
2025;1108786;A
2025;3148;A
2025;72767;A
2025;16236;A
2025;75821;A
2025;5001294;A
2025;90084;A
2025;57402;A
2025;66361;A
2025;18605;A
2025;7105;A
2025;1438629;A
2025;1399479;A
2025;1178524;A
2025;1180318;A
